,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.9,TN,M,200,a,a
1,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.85,STK,TK,200,c,a
2,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.86,TN,M,200,a,a
3,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.89,STK,TK,200,c,a
4,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.94,M,M,200,a,a
5,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.88,TN,STK,200,a,a
6,Round,F,VVS1,0.09,Excellent,Very Good,Very Good,0.0,unknown,unknown,204,c,a
7,Round,E,VVS1,0.09,Very Good,Very Good,Very Good,2.82,STK,STK,204,a,a
8,Round,J,I1,0.3,Very Good,Very Good,Very Good,4.32,unknown,unknown,212,a,a
9,Round,I,VVS1,0.09,Very Good,Very Good,Very Good,2.9,TN,TN,212,c,a
10,Round,G,VS2,0.1,Excellent,Very Good,Very Good,3.0,M,unknown,216,a,a
11,Round,E,VS2,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
12,Round,E,VS1,0.11,Very Good,Very Good,Very Good,0.0,unknown,unknown,222,c,a
13,Round,M,SI2,0.3,Excellent,Excellent,Excellent,4.29,M,M,240,a,a
14,Round,J,I1,0.3,Very Good,Excellent,Excellent,0.0,unknown,unknown,240,c,a
15,Round,L,I2,0.34,Excellent,Excellent,Very Good,4.48,M,STK,242,a,a
16,Pear,L,SI2,0.34,unknown,Very Good,Very Good,3.93,M,M,244,a,a
17,Oval,L,VS2,0.3,unknown,Very Good,Excellent,3.74,unknown,unknown,250,a,a
18,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.33,unknown,unknown,252,a,a
19,Round,M,SI1,0.31,Excellent,Excellent,Excellent,4.34,unknown,unknown,256,a,a
20,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.23,unknown,unknown,258,a,a
21,Round,I,VVS2,0.12,Very Good,Very Good,Very Good,3.35,TN,M,262,a,a
22,Round,D,VVS2,0.13,Excellent,Very Good,Excellent,0.0,unknown,unknown,266,c,a
23,Round,L,I2,0.31,Excellent,Excellent,Excellent,4.35,M,STK,268,a,a
24,Round,D,VVS2,0.13,Excellent,Excellent,Excellent,0.0,unknown,unknown,272,c,a
25,Oval,K,SI1,0.3,unknown,Very Good,Excellent,3.72,unknown,unknown,272,a,a
26,Round,L,I1,0.4,Excellent,Very Good,Excellent,4.7,M,STK,276,a,a
27,Oval,L,SI1,0.3,unknown,Very Good,Excellent,3.83,unknown,unknown,282,a,a
28,Round,E,VVS2,0.12,Very Good,Very Good,Very Good,3.16,M,M,284,a,a
29,Oval,K,SI1,0.3,unknown,Very Good,Excellent,3.58,unknown,unknown,284,a,a
30,Round,F,VS1,0.13,Very Good,Very Good,Very Good,3.31,TN,M,290,a,a
31,Round,E,VVS1,0.12,Very Good,Very Good,Very Good,3.18,M,M,290,a,a
32,Round,D,VVS2,0.12,Very Good,Very Good,Very Good,3.29,TN,M,290,a,a
33,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.34,M,STK,292,a,a
34,Round,D,VVS1,0.12,Very Good,Very Good,Very Good,3.27,TN,M,296,a,a
35,Round,M,I1,0.34,Very Good,Very Good,Very Good,4.49,TN,TK,300,a,a
36,Round,H,SI3,0.25,Very Good,Very Good,Very Good,0.0,unknown,unknown,308,c,a
37,Round,G,I1,0.3,Excellent,Very Good,Excellent,4.32,M,STK,310,a,a
38,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.27,unknown,unknown,312,a,a
39,Marquise,M,VS2,0.3,unknown,Very Good,Very Good,3.42,VTK,XTK,312,c,a
40,Round,E,VVS2,0.13,Very Good,Very Good,Very Good,3.37,M,STK,314,a,a
41,Round,E,VVS2,0.13,Excellent,Very Good,Very Good,3.31,M,M,314,a,a
42,Round,E,VVS2,0.13,Excellent,Very Good,Very Good,3.34,M,STK,314,a,a
43,Round,E,VVS2,0.13,Very Good,Very Good,Very Good,3.23,M,STK,314,a,a
44,Round,D,VVS2,0.13,Excellent,Very Good,Very Good,3.32,M,M,320,a,a
45,Round,M,VS2,0.31,Excellent,Excellent,Excellent,4.34,unknown,unknown,320,a,a
46,Round,M,SI2,0.41,Excellent,Excellent,Excellent,4.82,unknown,unknown,320,b,a
47,Round,I,I1,0.3,Excellent,Very Good,Excellent,4.28,unknown,unknown,324,a,a
48,Pear,K,VS1,0.32,unknown,Excellent,Excellent,3.89,unknown,unknown,324,a,a
49,Pear,L,VS1,0.3,unknown,Very Good,Excellent,3.74,unknown,unknown,326,a,a
50,Princess,G,I1,0.3,unknown,Very Good,Very Good,3.47,unknown,unknown,328,a,a
51,Emerald,H,I2,0.39,unknown,Very Good,Very Good,3.84,M,STK,328,b,a
52,Round,J,I2,0.3,Very Good,Very Good,Very Good,4.25,M,TK,328,a,a
53,Round,D,VVS2,0.12,Excellent,Excellent,Very Good,3.22,TN,M,328,a,a
54,Round,K,SI2,0.31,Excellent,Excellent,Excellent,4.35,unknown,unknown,328,a,a
55,Round,J,I1,0.3,Very Good,Very Good,Very Good,4.3,TN,TK,328,a,a
56,Round,F,VVS2,0.14,Excellent,Excellent,Excellent,0.0,unknown,unknown,330,c,a
57,Round,D,VVS2,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,330,c,a
58,Round,D,VVS2,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
59,Round,D,VVS1,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
60,Round,D,VVS2,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
61,Round,D,VVS1,0.12,Very Good,Excellent,Excellent,3.34,M,M,334,a,a
62,Round,K,I1,0.3,Very Good,Very Good,Excellent,4.31,unknown,unknown,336,a,a
63,Pear,M,VVS1,0.34,unknown,Very Good,Excellent,3.88,unknown,unknown,338,a,a
64,Round,M,VS1,0.3,Excellent,Excellent,Excellent,4.28,unknown,unknown,338,a,a
65,Round,J,I1,0.3,Excellent,Excellent,Excellent,4.33,M,STK,342,a,a
66,Round,M,VVS2,0.23,Excellent,Excellent,Excellent,3.98,TN,STK,342,a,a
67,Round,M,VS2,0.3,Excellent,Very Good,Excellent,4.33,unknown,unknown,342,a,a
68,Round,M,VS2,0.3,Very Good,Very Good,Excellent,4.21,unknown,unknown,342,a,a
69,Round,M,SI1,0.32,Excellent,Excellent,Very Good,4.35,unknown,unknown,346,a,a
70,Round,K,I1,0.31,Excellent,Excellent,Very Good,4.35,M,STK,348,a,a
71,Round,L,I2,0.37,Excellent,Excellent,Excellent,4.62,STK,STK,352,a,a
72,Round,I,I1,0.3,Excellent,Excellent,Excellent,4.34,unknown,unknown,352,a,a
73,Round,M,VS2,0.34,Excellent,Excellent,Excellent,4.46,unknown,unknown,352,a,a
74,Round,D,VVS2,0.14,Very Good,Very Good,Very Good,3.43,M,STK,352,a,a
75,Emerald,E,SI1,0.18,unknown,Very Good,Excellent,2.73,unknown,unknown,352,a,a
76,Round,M,SI1,0.33,Very Good,Excellent,Very Good,4.34,M,TK,354,a,a
77,Pear,E,I1,0.3,unknown,Very Good,Excellent,3.64,XTN,XTN,358,a,a
78,Round,J,I1,0.31,Very Good,Very Good,Excellent,4.23,unknown,unknown,358,a,a
79,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.3,unknown,unknown,358,a,a
80,Round,H,SI3,0.29,Very Good,Very Good,Very Good,0.0,unknown,unknown,358,c,a
81,Pear,J,VS2,0.3,unknown,Very Good,Very Good,3.88,unknown,unknown,360,a,a
82,Round,I,I3,0.3,Very Good,Very Good,Very Good,4.26,M,STK,360,a,a
83,Round,H,SI1,0.18,Very Good,Very Good,Very Good,3.58,unknown,unknown,360,a,a
84,Round,G,SI1,0.18,Excellent,Very Good,Very Good,3.64,unknown,unknown,360,a,a
85,Round,G,SI1,0.18,Excellent,Very Good,Very Good,3.7,unknown,unknown,360,a,a
86,Round,L,SI1,0.3,Excellent,Very Good,Very Good,4.32,unknown,unknown,360,a,a
87,Marquise,K,VS2,0.3,unknown,Very Good,Very Good,3.46,STK,XTK,362,a,a
88,Round,K,I1,0.3,Very Good,Excellent,Excellent,4.4,M,STK,362,a,a
89,Round,J,SI2,0.31,Very Good,Very Good,Very Good,4.29,unknown,unknown,364,a,a
90,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.22,unknown,unknown,364,a,a
91,Marquise,K,VS2,0.31,unknown,Very Good,Very Good,3.4,STK,VTK,364,a,a
92,Round,L,SI1,0.3,Very Good,Excellent,Excellent,4.28,STK,STK,364,a,a
93,Round,L,VS2,0.34,Excellent,Excellent,Excellent,4.53,unknown,unknown,366,a,a
94,Pear,J,SI2,0.31,unknown,Very Good,Very Good,3.87,unknown,unknown,366,a,a
95,Round,J,SI2,0.3,Very Good,Excellent,Excellent,0.0,unknown,unknown,368,c,a
96,Round,J,SI2,0.3,Excellent,Very Good,Excellent,4.3,unknown,unknown,368,a,a
97,Round,L,VS2,0.3,Very Good,Very Good,Very Good,4.25,unknown,unknown,368,a,a
98,Round,L,SI1,0.31,Very Good,Very Good,Excellent,4.31,unknown,unknown,368,a,a
99,Round,L,SI1,0.3,Excellent,Very Good,Very Good,4.32,M,STK,368,a,a
100,Emerald,F,I1,0.3,unknown,Very Good,Very Good,3.11,unknown,unknown,370,a,a
101,Round,E,VS2,0.16,Excellent,Very Good,Excellent,0.0,unknown,unknown,370,c,a
102,Round,E,VS1,0.16,Very Good,Very Good,Very Good,0.0,unknown,unknown,370,c,a
103,Round,E,VS1,0.16,Very Good,Very Good,Very Good,0.0,unknown,unknown,370,c,a
104,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.24,STK,TK,370,a,a
105,Pear,I,SI2,0.3,unknown,Very Good,Excellent,3.72,unknown,unknown,372,a,a
106,Princess,M,VS1,0.31,unknown,Very Good,Excellent,3.67,STK,TK,372,a,a
107,Round,H,I1,0.3,Very Good,Very Good,Very Good,4.25,M,TK,372,a,a
108,Pear,J,VS2,0.31,unknown,Very Good,Very Good,3.58,M,VTK,372,a,a
109,Round,G,VS1,0.16,Excellent,Very Good,Very Good,0.0,unknown,unknown,372,c,a
110,Round,M,SI1,0.3,Very Good,Very Good,Very Good,4.32,unknown,unknown,372,a,a
111,Round,M,VS2,0.34,Excellent,Excellent,Excellent,4.49,unknown,unknown,374,a,a
112,Round,L,SI1,0.31,Excellent,Excellent,Excellent,4.31,unknown,unknown,376,a,a
113,Round,J,I1,0.3,Excellent,Excellent,Excellent,4.37,TN,M,376,a,a
114,Round,F,I1,0.33,Excellent,Excellent,Excellent,4.42,unknown,unknown,378,a,a
115,Marquise,J,SI2,0.32,unknown,Very Good,Very Good,3.44,unknown,unknown,380,a,a
116,Round,K,I1,0.33,Excellent,Excellent,Excellent,4.45,unknown,unknown,380,a,a
117,Round,G,VVS1,0.15,Excellent,Excellent,Excellent,0.0,unknown,unknown,380,c,a
118,Round,G,VVS2,0.15,Excellent,Excellent,Excellent,0.0,unknown,unknown,380,c,a
119,Round,F,VS1,0.15,Excellent,Very Good,Very Good,0.0,unknown,unknown,380,c,a
120,Round,D,VS1,0.15,Excellent,Very Good,Very Good,0.0,unknown,unknown,380,c,a
121,Round,E,VS1,0.15,Very Good,Very Good,Very Good,0.0,unknown,unknown,380,c,a
122,Round,E,VS1,0.15,Excellent,Very Good,Very Good,0.0,unknown,unknown,380,c,a
123,Round,D,VS1,0.15,Very Good,Very Good,Very Good,0.0,unknown,unknown,380,c,a
124,Round,F,VS1,0.15,Very Good,Very Good,Very Good,0.0,unknown,unknown,380,c,a
125,Emerald,I,SI2,0.3,unknown,Excellent,Very Good,3.07,unknown,unknown,382,a,a
126,Marquise,L,SI2,0.31,unknown,Very Good,Excellent,3.37,TK,XTK,382,c,a
127,Round,J,SI2,0.3,Very Good,Very Good,Very Good,4.25,unknown,unknown,384,a,a
128,Round,J,VVS1,0.18,Excellent,Excellent,Excellent,3.72,TN,M,384,a,a
129,Round,I,SI2,0.3,Excellent,Excellent,Very Good,4.3,unknown,unknown,388,a,a
