,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,K,SI1,0.31,Excellent,GIA,Excellent,Excellent,62.1,57.0,4.34,4.37,2.71,M,M,500,a,a
1,Round,F,SI1,0.23,Excellent,GIA,Very Good,Excellent,61.4,60.0,3.92,3.95,2.42,M,STK,660,a,a
2,Round,E,VS1,0.23,Excellent,GIA,Excellent,Excellent,62.4,57.0,3.89,3.92,2.44,unknown,unknown,688,a,a
3,Round,E,VVS2,0.18,Excellent,GIA,Very Good,Very Good,62.1,59.0,3.59,3.63,2.24,M,STK,706,a,a
4,Pear,D,SI1,0.31,unknown,GIA,Very Good,Very Good,66.1,56.0,5.62,3.72,2.46,unknown,unknown,696,a,a
5,Round,F,VVS1,0.23,Very Good,GIA,Very Good,Very Good,61.6,61.0,3.89,3.91,2.4,unknown,unknown,746,a,a
6,Round,G,SI1,0.3,Excellent,IGI,Very Good,Excellent,62.3,55.5,4.27,4.33,2.67,M,unknown,822,a,a
7,Round,L,VVS1,0.4,Very Good,GIA,Very Good,Very Good,64.3,56.0,4.59,4.63,2.96,STK,TK,830,a,a
8,Round,I,VS2,0.3,Excellent,GIA,Very Good,Very Good,62.0,57.0,4.26,4.31,2.66,STK,STK,834,a,a
9,Round,F,IF,0.23,Excellent,GIA,Excellent,Excellent,60.0,59.0,3.99,4.01,2.4,M,STK,856,a,a
10,Oval,E,VVS2,0.3,unknown,GIA,Very Good,Excellent,64.2,58.0,5.09,3.75,2.41,unknown,unknown,912,a,a
11,Emerald,E,VVS2,0.3,unknown,GIA,Very Good,Very Good,68.8,66.0,4.44,3.22,2.22,TN,TK,918,a,a
12,Round,E,SI1,0.3,Excellent,GIA,Excellent,Excellent,59.6,61.0,4.39,4.4,2.62,M,M,920,a,a
