,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.9,STK,STK,200,b,a
1,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.91,STK,STK,200,b,a
2,Round,F,VVS1,0.09,Very Good,Very Good,Very Good,2.85,STK,TK,200,b,a
3,Round,E,VVS1,0.08,Excellent,Excellent,Excellent,2.8,M,M,202,b,a
4,Round,F,VVS1,0.09,Excellent,Very Good,Very Good,0.0,unknown,unknown,204,b,a
5,Round,E,VVS1,0.09,Very Good,Very Good,Excellent,2.87,M,M,204,b,a
6,Round,I,VVS1,0.09,Very Good,Very Good,Very Good,2.9,TN,TN,212,b,a
7,Round,G,VVS2,0.1,Very Good,Very Good,Very Good,3.08,TN,M,212,b,a
8,Round,D,VS2,0.09,Excellent,Very Good,Excellent,2.9,M,M,214,b,a
9,Round,H,VVS2,0.11,Very Good,Very Good,Very Good,3.08,M,M,220,b,a
10,Round,D,VS1,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,b,a
11,Round,D,VS1,0.11,Excellent,Very Good,Very Good,0.0,unknown,unknown,222,b,a
12,Round,E,VS2,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,b,a
13,Round,F,VS2,0.1,Very Good,Very Good,Very Good,0.0,unknown,unknown,228,b,a
14,Round,F,VS2,0.1,Excellent,Very Good,Very Good,0.0,unknown,unknown,228,b,a
15,Round,F,VS2,0.1,Very Good,Very Good,Very Good,0.0,unknown,unknown,228,b,a
16,Round,E,VVS2,0.11,Very Good,Very Good,Very Good,0.0,unknown,unknown,230,b,a
17,Round,E,VVS1,0.09,Excellent,Excellent,Excellent,2.88,M,STK,232,b,a
18,Round,M,SI2,0.3,Excellent,Excellent,Excellent,4.29,M,M,240,a,a
19,Round,G,VVS1,0.11,Very Good,Very Good,Very Good,3.14,VTN,M,244,b,a
20,Round,G,I2,0.3,Excellent,Excellent,Very Good,4.3,unknown,unknown,250,a,a
21,Round,L,SI1,0.3,Excellent,Excellent,Excellent,4.34,unknown,unknown,252,a,a
22,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.23,unknown,unknown,258,a,a
23,Round,H,VVS2,0.12,Excellent,Very Good,Very Good,3.26,TN,TN,260,b,a
24,Round,D,VVS2,0.11,Very Good,Very Good,Very Good,3.09,VTN,M,260,b,a
25,Round,E,SI1,0.12,Very Good,Very Good,Very Good,3.16,M,STK,262,a,a
26,Round,D,VVS2,0.13,Excellent,Very Good,Excellent,0.0,unknown,unknown,266,b,a
